2023-06-15 21:31:21,115 [DEBUG] MainProcess(13386):MainThread        (4612373952) | emailall.run:69 - [*] Starting EmailAll @ 2023-06-15 21:31:21

2023-06-15 21:31:21,116 [INFOR] MainProcess(13386):MainThread        (4612373952) | utils.get_net_env:44 - Checking network environment
2023-06-15 21:31:21,116 [DEBUG] MainProcess(13386):MainThread        (4612373952) | utils.check_net:24 - Trying to access http://ip-api.com/json/
2023-06-15 21:31:21,495 [DEBUG] MainProcess(13386):MainThread        (4612373952) | utils.check_net:33 - Access to Internet OK
2023-06-15 21:31:21,496 [DEBUG] MainProcess(13386):MainThread        (4612373952) | utils.check_net:36 - The computer is located in China
2023-06-15 21:31:21,496 [DEBUG] MainProcess(13386):MainThread        (4612373952) | utils.get_domains:101 - Getting domains
2023-06-15 21:31:21,496 [DEBUG] MainProcess(13386):MainThread        (4612373952) | utils.get_domains:109 - The obtained domains 
['anker.com']
2023-06-15 21:31:21,496 [INFOR] MainProcess(13386):MainThread        (4612373952) | collect.run:45 - Start collecting Emails of anker.com
2023-06-15 21:31:22,062 [INFOR] MainProcess(13386):snov              (123145416937472) | module.begin:57 - Start Snov module to collect Emaile of anker.com
2023-06-15 21:31:22,063 [INFOR] MainProcess(13386):phonebook         (123145433726976) | module.begin:57 - Start PhoneBook module to collect Emaile of anker.com
2023-06-15 21:31:22,064 [INFOR] MainProcess(13386):skymem            (123145450516480) | module.begin:57 - Start Skymem module to collect Emaile of anker.com
2023-06-15 21:31:22,064 [INFOR] MainProcess(13386):Emailf            (123145467305984) | module.begin:57 - Start Email-Format module to collect Emaile of anker.com
2023-06-15 21:31:22,064 [INFOR] MainProcess(13386):veryvp            (123145484095488) | module.begin:57 - Start Veryvp module to collect Emaile of anker.com
2023-06-15 21:31:22,066 [INFOR] MainProcess(13386):bingcn            (123145500884992) | module.begin:57 - Start BingcnSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,068 [INFOR] MainProcess(13386):ask               (123145517674496) | module.begin:57 - Start AskSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,073 [INFOR] MainProcess(13386):githubapi         (123145534464000) | module.begin:57 - Start GithubApi module to collect Emaile of anker.com
2023-06-15 21:31:22,074 [INFOR] MainProcess(13386):google            (123145551253504) | module.begin:57 - Start GoogleSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,077 [INFOR] MainProcess(13386):so                (123145568043008) | module.begin:57 - Start SoSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,078 [INFOR] MainProcess(13386):sogou             (123145584832512) | module.begin:57 - Start SogouSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,079 [INFOR] MainProcess(13386):baidu             (123145602695168) | module.begin:57 - Start BaiduSearch module to collect Emaile of anker.com
2023-06-15 21:31:22,079 [INFOR] MainProcess(13386):qwant             (123145619484672) | module.begin:57 - Start QwantSearch module to collect Emaile of anker.com
2023-06-15 21:31:23,528 [ERROR] MainProcess(13386):phonebook         (123145433726976) | module.post:132 - HTTPSConnectionPool(host='public.intelx.io', port=443): Max retries exceeded with url: /phonebook/search?k=077424c6-7a26-410e-9269-c9ac546886a4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff8106eab50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-06-15 21:31:23,528 [DEBUG] MainProcess(13386):phonebook         (123145433726976) | module.finish:66 - Finished PhoneBook module to collect anker.com's Email
2023-06-15 21:31:23,529 [INFOR] MainProcess(13386):phonebook         (123145433726976) | module.finish:68 - PhoneBook module took 1.5 seconds found 0 Email
2023-06-15 21:31:23,973 [DEBUG] MainProcess(13386):veryvp            (123145484095488) | module.finish:66 - Finished Veryvp module to collect anker.com's Email
2023-06-15 21:31:23,974 [INFOR] MainProcess(13386):veryvp            (123145484095488) | module.finish:68 - Veryvp module took 1.9 seconds found 0 Email
2023-06-15 21:31:24,474 [DEBUG] MainProcess(13386):Emailf            (123145467305984) | module.finish:66 - Finished Email-Format module to collect anker.com's Email
2023-06-15 21:31:24,474 [INFOR] MainProcess(13386):Emailf            (123145467305984) | module.finish:68 - Email-Format module took 2.4 seconds found 6 Email
2023-06-15 21:31:24,561 [DEBUG] MainProcess(13386):bingcn            (123145500884992) | module.finish:66 - Finished BingcnSearch module to collect anker.com's Email
2023-06-15 21:31:24,562 [INFOR] MainProcess(13386):bingcn            (123145500884992) | module.finish:68 - BingcnSearch module took 2.5 seconds found 0 Email
2023-06-15 21:31:24,569 [DEBUG] MainProcess(13386):baidu             (123145602695168) | module.finish:66 - Finished BaiduSearch module to collect anker.com's Email
